date,course,race_id,off,race_name,class,pattern,age_band,dist_m,going,surface,ran,num,pos,draw,ovr_btn,horse_id,horse,age,sex,lbs,hg,secs,dec,jockey_id,jockey,trainer_id,trainer,or,rpr,sire_id,sire,dam_id,dam,damsire_id,damsire
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,11,12,3,9,2879964,On Excel Star (NZ),7,G,115,b,102.41,38.00,94181,H N Jack Wong,35035,Jimmy Ting,43,35,796044,Niagara (AUS),2879963,Vuela (AUS),96075,Anabaa
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,7,1,3,0,2724390,Kung Fu Tea (NZ),7,G,125,b,101.63,5.80,98196,L J Ferraris,23445,D J Hall,48,60,736090,Shocking (AUS),869405,Pristino (AUS),518730,More Than Ready
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,5,2,1,0.1,4804238,Chill Chibi (NZ),3,G,127,t,101.65,61.00,99123,Jerry Chau,16058,C S Shum,52,64,790342,Wrote (IRE),901883,My Amazing Cool (NZ),560029,Danroad
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,6,3,9,.5,3348797,Young Life Forever (AUS),4,G,127,,101.73,15.00,88632,Harry Bentley,16095,C Fownes,50,61,577888,Exceed And Excel (AUS),3348796,Illustrate (AUS),537646,Street Cry
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,9,4,5,1.25,4447743,Packing Monkeyking (NZ),4,G,123,,101.88,7.50,88536,K C Leung,12760,L Ho,46,55,901110,Tivaci (AUS),1150219,Honolulu (NZ),597619,Savabeel
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,3,5,7,2,4146627,Copartner Fionn (NZ),5,G,132,het,102.03,28.00,90687,C Y Ho,35043,Jamie Richards,55,63,717010,Redwood (GB),795651,Chockaholic (NZ),461545,Kaapstad
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,4,6,11,2.25,1041680,Kungfumaster Panda (GB),9,G,122,tb,102.09,20.00,101468,Angus Chung,39762,P C Ng,55,62,103416,Royal Applause (GB),667131,Hypoteneuse (IRE),463975,Sadlers Wells
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,8,7,4,3,3254636,Happy Jai Jai (NZ),6,G,124,t,102.23,9.10,88300,M L Yeung,30441,T P Yung,47,53,597619,Savabeel (AUS),873733,Avisto (NZ),716511,Tavistock
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,12,8,8,3.75,4171450,Concerto (AUS),6,G,117,t,102.38,15.00,91255,V Borges,35035,Jimmy Ting,40,44,567732,Dalakhani (IRE),809045,Amalgamate (AUS),581361,Zenno Rob Roy
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,10,9,6,4.5,3461163,Cordyceps One (AUS),5,G,122,hb,102.53,6.50,83746,Silvestre De Sousa,12762,K W Lui,45,47,753334,Hinchinbrook (AUS),3461162,Shamardal Gold (AUS),602045,Shamardal
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,1,10,12,4.75,4305419,Wide Blue Yonder (NZ),4,G,135,tp,102.58,7.60,79529,Hugh Bowman,3550,David A Hayes,58,60,779232,Power (GB),880710,Pierian (NZ),503034,Montjeu
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,11,11,2,6.75,2492327,Winwin Thirtythree (NZ),7,G,119,v,102.98,6.40,88999,Ruan Maia,13936,P F Yiu,42,39,736110,Showcasing (GB),904652,Abenroad (NZ),560029,Danroad
2023-01-04,Happy Valley (HK),830223,12:15,Tsun Yip Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,2,12,10,12.25,3318919,Rainbow Light (IRE),6,G,133,tb,104.08,7.90,88634,Karis Teetan,36353,Douglas Whyte,56,40,839591,Outstrip (GB),844492,Mrs Micawber GB,522845,Nayef
